Lake,Date,Sampler,Time_start,Mosquitos,Time_min,Mos_min,B_or_a,Basin,Elevation,Dist_tr,Tree_cover,Wetland,Hum_Activity_Tot,Log_Hum_Tot
Birchim,2024-07-16,KJ,17:40,109,90,1.2,before,Pine_Creek,10314,2.69,63,3397.0,2393,3.38
Honeymoon,2024-06-25,CC,8:45,145,120,1.2,before,Pine_Creek,10436,3.17,65,5306.1,2393,3.38
Honeymoon,2024-06-25,KJ,8:45,212,120,1.8,before,Pine_Creek,10436,3.17,65,5306.1,2393,3.38
Honeymoon,2024-07-16,SC,19:15,197,75,2.6,before,Pine_Creek,10436,3.17,65,5306.1,2393,3.38
Pine,2024-06-25,SC,11:03,315,80,3.9,before,Pine_Creek,9948,2.11,50,13943.7,2393,3.38
Pine,2024-07-15,KJ,8:45,77,60,1.3,before,Pine_Creek,9948,2.11,50,13943.7,2393,3.38
Pine,2024-07-16,CC,19:30,109,60,1.8,before,Pine_Creek,9948,2.11,50,13943.7,2393,3.38
Pine,2024-07-16,KJ,19:30,82,60,1.4,before,Pine_Creek,9948,2.11,50,13943.7,2393,3.38
Pine,2024-07-19,CC,8:45,40,60,0.7,before,Pine_Creek,9948,2.11,50,13943.7,2393,3.38
Upper_Pine,2024-06-25,CC,11:20,77,75,1.0,before,Pine_Creek,10200,2.62,74,20081.3,2393,3.38
Upper_Pine,2024-06-25,KJ,11:20,48,60,0.8,before,Pine_Creek,10200,2.62,74,20081.3,2393,3.38
Upper_Pine,2024-07-16,SC,17:11,176,109,1.6,before,Pine_Creek,10200,2.62,74,20081.3,2393,3.38
Upper_Pine,2024-07-19,SC,8:50,67,55,1.2,before,Pine_Creek,10200,2.62,74,20081.3,2393,3.38
Lower_Pioneer,2024-06-21,CC,17:57,4,40,0.1,after,Pioneer_Basin,10869,3.95,17,2249.7,441,2.64
Lower_Pioneer,2024-06-21,KJ,17:57,7,40,0.2,after,Pioneer_Basin,10869,3.95,17,2249.7,441,2.64
Lower_Pioneer,2024-06-21,SC,17:57,6,40,0.2,after,Pioneer_Basin,10869,3.95,17,2249.7,441,2.64
Lower_Pioneer,2024-07-12,SC,7:55,16,90,0.2,after,Pioneer_Basin,10869,3.95,17,2249.7,441,2.64
Pioneer_1,2024-06-21,CC,13:15,48,75,0.6,after,Pioneer_Basin,10390,3.12,60,13661.7,441,2.64
Pioneer_1,2024-06-21,KJ,13:15,57,75,0.8,after,Pioneer_Basin,10390,3.12,60,13661.7,441,2.64
Pioneer_1,2024-06-21,SC,13:15,22,115,0.2,after,Pioneer_Basin,10390,3.12,60,13661.7,441,2.64
Pioneer_1,2024-07-12,CC,7:20,25,90,0.3,after,Pioneer_Basin,10390,3.12,60,13661.7,441,2.64
Pioneer_1,2024-07-12,KJ,7:20,45,80,0.6,after,Pioneer_Basin,10390,3.12,60,13661.7,441,2.64
Pioneer_2,2024-06-21,CC,15:41,16,75,0.2,after,Pioneer_Basin,10827,3.61,25,2634.7,441,2.64
Pioneer_2,2024-06-21,KJ,15:41,14,75,0.2,after,Pioneer_Basin,10827,3.61,25,2634.7,441,2.64
Pioneer_2,2024-06-21,SC,15:41,23,75,0.3,after,Pioneer_Basin,10827,3.61,25,2634.7,441,2.64
Pioneer_2,2024-07-12,CC,16:45,11,30,0.4,after,Pioneer_Basin,10827,3.61,25,2634.7,441,2.64
Pioneer_2,2024-07-12,KJ,16:45,9,30,0.3,after,Pioneer_Basin,10827,3.61,25,2634.7,441,2.64
Pioneer_2,2024-07-12,SC,16:45,4,30,0.1,after,Pioneer_Basin,10827,3.61,25,2634.7,441,2.64
Heart,2024-06-18,CC,16:22,75,61,1.2,before,Rock_Creek,10436,1.21,64,4036.5,22072,4.34
Heart,2024-06-18,SC,16:22,104,61,1.7,before,Rock_Creek,10436,1.21,64,4036.5,22072,4.34
Heart,2024-07-09,CC,18:50,262,105,2.5,before,Rock_Creek,10436,1.21,64,4036.5,22072,4.34
Heart,2024-07-09,KJ,18:55,268,100,2.7,before,Rock_Creek,10436,1.21,64,4036.5,22072,4.34
Hidden,2024-06-18,CC,14:34,3,59,0.1,before,Rock_Creek,10502,1.16,59,2246.3,22072,4.34
Hidden,2024-06-18,SC,14:32,12,60,0.2,before,Rock_Creek,10502,1.16,59,2246.3,22072,4.34
Hidden,2024-07-09,SC,19:00,358,85,4.2,before,Rock_Creek,10502,1.16,59,2246.3,22072,4.34
LEB,2024-06-19,CC,16:41,74,58,1.3,before,Rock_Creek,10308,0.15,54,5280.8,22072,4.34
LEB,2024-06-19,KJ,16:41,48,60,0.8,before,Rock_Creek,10308,0.15,54,5280.8,22072,4.34
LEB,2024-06-19,SC,16:41,67,58,1.2,before,Rock_Creek,10308,0.15,54,5280.8,22072,4.34
LEB,2024-07-10,CC,19:25,43,80,0.5,before,Rock_Creek,10308,0.15,54,5280.8,22072,4.34
LEB,2024-07-10,KJ,19:25,31,80,0.4,before,Rock_Creek,10308,0.15,54,5280.8,22072,4.34
LEB,2024-08-03,KJ,18:30,8,30,0.3,before,Rock_Creek,10308,0.15,54,5280.8,22072,4.34
LEB,2024-08-03,SC,18:30,9,30,0.3,before,Rock_Creek,10308,0.15,54,5280.8,22072,4.34
Marsh,2024-06-19,CC,14:27,50,64,0.8,before,Rock_Creek,10430,0.99,60,2401.0,22072,4.34
Marsh,2024-06-19,KJ,14:27,47,64,0.7,before,Rock_Creek,10430,0.99,60,2401.0,22072,4.34
Marsh,2024-06-19,SC,14:27,74,64,1.2,before,Rock_Creek,10430,0.99,60,2401.0,22072,4.34
Marsh,2024-07-10,SC,7:41,118,99,1.2,before,Rock_Creek,10430,0.99,60,2401.0,22072,4.34
Marsh,2024-08-03,KJ,16:39,2,30,0.1,before,Rock_Creek,10430,0.99,60,2401.0,22072,4.34
Marsh,2024-08-03,SC,16:39,2,30,0.1,before,Rock_Creek,10430,0.99,60,2401.0,22072,4.34
